Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Jayson Tatum,25,14,567,21.6,0.565,0.365,0.401,2.8,27.2,15.2,23.6,1.4,1.6,9.5,29.1,,1.3,1.0,2.3,0.196,,2.6,1.4,4.0,0.9
2,Jrue Holiday,33,14,531,15.1,0.614,0.496,0.131,5.5,11.9,8.7,17.0,1.8,1.6,13.2,14.6,,1.1,0.8,1.9,0.168,,1.1,1.6,2.7,0.6
3,Jaylen Brown,27,14,514,20.4,0.61,0.298,0.286,4.2,15.4,9.9,12.7,1.5,1.4,11.4,29.2,,0.8,0.8,1.6,0.147,,1.5,0.2,1.7,0.5
4,Derrick White,29,14,492,20.0,0.625,0.631,0.15,2.9,10.7,6.9,19.8,1.3,3.4,4.8,19.7,,1.6,0.7,2.4,0.233,,4.5,1.7,6.3,1.0
5,Al Horford,37,14,425,15.5,0.594,0.69,0.08,8.5,19.8,14.2,8.9,1.1,2.8,7.1,13.7,,0.8,0.7,1.5,0.172,,1.7,0.9,2.6,0.5
6,Payton Pritchard,26,14,293,13.1,0.638,0.571,0.156,4.9,7.2,6.1,15.4,0.5,0.0,11.8,14.7,,0.7,0.3,0.9,0.151,,0.9,-0.6,0.2,0.2
7,Sam Hauser,26,14,205,9.1,0.536,0.842,0.035,1.8,13.7,7.8,5.4,1.0,1.4,4.9,13.8,,0.1,0.3,0.4,0.09,,-1.4,0.0,-1.5,0.0
8,Luke Kornet,28,10,118,17.9,0.748,0.0,0.684,17.4,21.8,19.6,5.8,0.0,3.9,19.5,12.1,,0.4,0.2,0.5,0.221,,1.0,0.6,1.6,0.1
9,Kristaps Porziņģis,28,4,105,18.1,0.581,0.556,0.389,4.6,17.8,11.3,9.5,2.5,5.3,8.7,20.4,,0.2,0.2,0.4,0.193,,1.9,2.3,4.2,0.2
10,Xavier Tillman Sr.,25,6,50,8.6,0.6,0.0,0.0,4.8,16.3,10.7,5.2,3.1,1.9,28.6,6.5,,0.0,0.1,0.1,0.099,,-4.4,2.6,-1.8,0.0
11,Oshae Brissett,25,7,37,14.1,0.571,0.143,0.286,6.5,28.4,17.6,0.0,4.2,2.5,11.3,11.1,,0.0,0.1,0.1,0.132,,-1.9,3.4,1.5,0.0
12,Svi Mykhailiuk,26,5,18,0.3,0.375,1.0,0.0,6.7,13.0,9.9,7.1,2.9,0.0,33.3,15.4,,-0.1,0.0,0.0,-0.077,,-9.0,0.7,-8.3,0.0
13,Jaden Springer,21,3,14,8.8,1.0,0.0,0.0,0.0,8.3,4.2,10.3,0.0,6.6,50.0,13.2,,0.0,0.0,0.0,0.017,,-2.5,2.8,0.4,0.0
14,Neemias Queta,24,2,8,13.2,0.5,0.0,0.0,15.1,29.2,22.3,0.0,0.0,0.0,0.0,11.6,,0.0,0.0,0.0,0.132,,-0.2,-4.1,-4.3,0.0
15,Jordan Walsh,19,2,6,15.5,1.0,0.0,0.0,0.0,19.5,9.9,0.0,0.0,0.0,0.0,7.7,,0.0,0.0,0.0,0.185,,1.2,0.9,2.1,0.0
