Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Jayson Tatum,25,74,2645,22.3,0.604,0.427,0.349,2.9,20.9,12.3,21.0,1.4,1.4,10.3,30.2,,6.4,4.1,10.4,0.189,,4.5,0.6,5.1,4.7
2,Derrick White,29,73,2381,16.9,0.611,0.59,0.181,2.4,11.3,7.0,21.2,1.5,3.2,11.0,18.6,,5.2,3.3,8.5,0.171,,2.4,1.4,3.8,3.5
3,Jaylen Brown,27,70,2343,18.6,0.58,0.326,0.239,4.0,13.4,8.9,16.6,1.8,1.4,10.7,28.9,,2.7,3.2,5.9,0.121,,0.9,-0.1,0.7,1.6
4,Jrue Holiday,33,69,2263,14.4,0.597,0.467,0.104,4.2,13.2,8.9,19.3,1.3,2.1,14.7,16.3,,3.3,3.0,6.3,0.133,,1.0,1.1,2.1,2.4
5,Payton Pritchard,26,82,1825,15.3,0.597,0.602,0.088,4.3,11.1,7.8,20.7,1.1,0.3,8.5,17.2,,4.2,1.9,6.1,0.16,,1.3,-0.2,1.0,1.4
6,Sam Hauser,26,79,1741,13.0,0.629,0.833,0.034,2.9,13.7,8.6,6.2,1.1,1.3,5.3,15.0,,2.7,2.1,4.9,0.134,,1.2,0.0,1.2,1.4
7,Al Horford,37,65,1740,15.0,0.65,0.616,0.072,5.3,19.7,12.8,12.3,1.1,3.1,10.0,12.0,,3.5,2.7,6.2,0.172,,1.7,2.0,3.6,2.5
8,Kristaps Porziņģis,28,57,1690,23.2,0.647,0.39,0.402,6.5,19.1,13.1,10.0,1.2,5.8,9.1,25.1,,4.9,3.0,7.9,0.226,,3.5,1.6,5.1,3.0
9,Luke Kornet,28,63,983,19.8,0.736,0.005,0.266,13.5,15.1,14.3,8.9,1.2,5.5,8.5,11.0,,3.5,1.6,5.1,0.248,,1.6,1.8,3.4,1.3
10,Oshae Brissett,25,55,630,12.8,0.53,0.359,0.542,10.9,16.3,13.7,8.7,1.5,1.1,9.5,14.5,,0.8,0.9,1.7,0.131,,-2.0,0.2,-1.8,0.0
11,Svi Mykhailiuk,26,41,413,11.7,0.575,0.788,0.066,3.0,10.0,6.7,11.0,1.3,0.2,7.8,16.1,,0.5,0.4,0.9,0.106,,-0.9,-0.9,-1.8,0.0
12,Neemias Queta,24,28,333,22.9,0.662,0.0,0.269,17.9,21.5,19.8,8.5,1.9,5.5,10.1,16.9,,1.1,0.7,1.8,0.259,,0.4,1.1,1.5,0.3
13,Xavier Tillman Sr.,25,20,274,13.3,0.579,0.424,0.106,5.8,15.1,10.6,9.3,1.6,2.9,6.7,11.8,,0.4,0.4,0.8,0.142,,-1.3,1.3,0.0,0.1
14,Dalano Banton,24,24,171,9.9,0.468,0.314,0.392,7.9,13.9,11.0,13.9,1.4,1.5,14.3,17.8,,0.0,0.2,0.2,0.063,,-4.7,0.6,-4.1,-0.1
15,Jaden Springer,21,17,130,10.9,0.522,0.367,0.267,6.9,9.6,8.3,8.6,4.2,2.7,19.3,13.9,,0.0,0.3,0.2,0.092,,-6.0,2.8,-3.2,0.0
16,Lamar Stevens,26,19,122,14.5,0.532,0.178,0.244,11.1,16.1,13.7,8.9,2.4,3.6,15.3,21.0,,0.0,0.2,0.2,0.093,,-2.9,0.9,-2.0,0.0
17,Jordan Walsh,19,9,83,8.4,0.472,0.6,0.133,6.8,18.7,13.0,7.2,3.0,1.1,15.9,9.9,,0.0,0.2,0.2,0.089,,-5.6,1.8,-3.8,0.0
18,JD Davison,21,8,39,18.8,0.581,0.583,0.333,5.8,21.2,13.8,32.9,1.3,2.3,12.7,17.6,,0.1,0.1,0.2,0.228,,1.8,1.4,3.3,0.1
19,Drew Peterson,24,3,23,18.5,0.917,0.833,0.0,0.0,4.5,2.3,5.9,4.3,0.0,14.3,13.3,,0.1,0.0,0.1,0.194,,3.8,1.6,5.3,0.0
