Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Luka Dončić,24,16,669,22.1,0.552,0.437,0.339,2.7,23.8,13.2,37.6,2.0,1.1,13.3,32.0,,1.3,1.0,2.3,0.162,,5.3,2.0,7.3,1.6
2,Kyrie Irving,31,16,645,16.9,0.59,0.357,0.221,3.4,7.7,5.5,21.4,1.6,1.0,12.3,23.9,,1.1,0.5,1.7,0.125,,2.7,0.0,2.7,0.8
3,P.J. Washington,25,16,586,11.9,0.558,0.597,0.204,4.9,16.2,10.5,5.6,1.2,2.2,9.6,16.8,,0.4,0.7,1.1,0.087,,-0.5,0.9,0.4,0.4
4,Derrick Jones Jr.,26,16,501,11.4,0.6,0.411,0.202,5.9,7.8,6.9,6.5,0.8,3.1,11.2,13.7,,0.6,0.4,1.0,0.095,,-0.5,0.8,0.3,0.3
5,Daniel Gafford,25,16,351,18.5,0.615,0.0,0.48,10.1,19.7,14.9,5.8,0.7,7.7,11.9,17.4,,0.6,0.5,1.1,0.151,,0.4,1.0,1.5,0.3
6,Dereck Lively II,19,15,323,20.3,0.666,0.0,0.64,14.2,24.0,19.1,10.5,0.8,4.6,13.5,15.6,,0.9,0.5,1.4,0.204,,1.6,2.0,3.5,0.5
7,Josh Green,23,16,284,12.4,0.591,0.742,0.21,6.5,10.6,8.5,9.4,2.4,1.0,9.4,11.9,,0.5,0.3,0.8,0.131,,0.2,2.2,2.3,0.3
8,Tim Hardaway Jr.,31,10,130,9.6,0.494,0.581,0.186,1.8,15.1,8.4,4.6,1.6,0.7,4.1,16.9,,0.0,0.1,0.1,0.051,,-2.3,0.3,-2.0,0.0
9,Maxi Kleber,32,7,130,11.2,0.699,0.833,0.167,2.6,12.4,7.5,10.8,0.4,2.1,10.4,10.0,,0.2,0.1,0.3,0.128,,0.7,1.7,2.5,0.1
10,Dante Exum,28,15,91,4.5,0.345,0.424,0.121,2.5,8.9,5.7,14.0,1.1,1.0,5.4,18.3,,-0.2,0.1,-0.1,-0.045,,-4.8,-1.7,-6.6,-0.1
11,Jaden Hardy,21,13,88,13.9,0.51,0.426,0.191,1.3,10.5,5.9,23.2,1.8,0.0,8.9,28.8,,0.0,0.1,0.1,0.06,,-0.7,-0.5,-1.2,0.0
12,Dwight Powell,32,9,26,5.4,0.431,0.0,3.0,8.8,22.2,15.5,4.8,2.0,0.0,17.7,9.8,,0.0,0.0,0.0,0.061,,-7.6,-0.1,-7.7,0.0
13,A.J. Lawson,23,7,16,19.0,0.667,0.833,0.0,7.2,14.4,10.8,0.0,0.0,5.8,0.0,17.0,,0.0,0.0,0.1,0.182,,5.5,1.3,6.7,0.0
14,Olivier-Maxence Prosper,21,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.003,,-5.9,-2.6,-8.5,0.0
