Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Luka Dončić,24,70,2624,28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36.0,,8.5,3.5,12.0,0.22,,8.3,1.7,9.9,8.0
2,Tim Hardaway Jr.,31,79,2120,12.1,0.542,0.612,0.173,1.1,11.9,6.5,9.2,1.0,0.2,6.2,22.6,,0.8,1.4,2.2,0.05,,-0.8,-2.1,-2.9,-0.5
3,Kyrie Irving,31,58,2030,21.9,0.608,0.372,0.186,2.4,13.2,7.8,23.8,1.7,1.2,8.0,28.1,,4.9,2.0,6.9,0.163,,4.8,0.1,4.9,3.6
4,Derrick Jones Jr.,26,76,1783,11.7,0.592,0.483,0.275,5.0,10.3,7.7,5.5,1.4,2.5,10.5,14.9,,1.5,1.6,3.1,0.083,,-1.3,-0.3,-1.5,0.2
5,Josh Green,23,57,1505,9.9,0.588,0.5,0.152,2.9,10.4,6.7,11.1,1.5,0.5,13.1,13.1,,1.0,1.2,2.2,0.071,,-2.4,-0.3,-2.7,-0.3
6,Dereck Lively II,19,55,1294,18.1,0.728,0.007,0.274,11.4,20.4,16.0,6.4,1.3,5.2,13.1,12.6,,3.1,1.8,4.9,0.183,,-0.3,0.8,0.5,0.8
7,Grant Williams,25,47,1242,8.3,0.56,0.662,0.174,4.1,10.8,7.4,8.2,0.9,1.9,13.4,13.6,,0.4,1.0,1.3,0.052,,-2.7,-0.7,-3.4,-0.4
8,Dante Exum,28,55,1088,13.7,0.645,0.358,0.225,2.5,12.4,7.5,19.3,1.0,0.4,12.9,15.0,,2.1,0.8,2.9,0.127,,-0.3,-0.3,-0.6,0.4
9,Jaden Hardy,21,73,989,11.2,0.517,0.468,0.159,2.2,12.2,7.2,15.7,1.1,0.4,10.8,24.9,,-0.4,0.7,0.3,0.014,,-2.0,-2.1,-4.1,-0.5
10,P.J. Washington,25,29,935,11.0,0.522,0.56,0.169,3.7,17.1,10.5,6.2,1.7,2.5,8.5,16.3,,0.0,1.1,1.1,0.056,,-1.8,0.7,-1.2,0.2
11,Maxi Kleber,32,43,871,8.8,0.573,0.63,0.322,3.8,14.1,9.0,9.5,0.9,3.0,14.4,9.6,,0.6,0.8,1.4,0.08,,-2.3,1.0,-1.3,0.2
12,Dwight Powell,32,63,836,14.5,0.716,0.028,0.84,12.7,15.2,14.0,12.4,1.5,2.1,18.1,9.1,,2.2,0.9,3.1,0.181,,-1.1,0.8,-0.3,0.4
13,Daniel Gafford,25,29,623,25.0,0.769,0.0,0.301,11.3,23.9,17.6,11.1,1.6,7.9,11.7,16.4,,2.2,1.1,3.3,0.257,,2.5,3.4,5.9,1.3
14,Seth Curry,33,36,457,8.6,0.502,0.552,0.131,3.6,8.8,6.2,8.4,1.8,0.6,9.4,15.9,,-0.1,0.4,0.3,0.034,,-3.2,-0.9,-4.0,-0.2
15,Olivier-Maxence Prosper,21,40,336,11.6,0.496,0.433,0.394,8.2,17.5,12.8,8.4,1.0,1.0,6.2,16.6,,0.2,0.3,0.5,0.076,,-1.7,-1.3,-2.9,-0.1
16,A.J. Lawson,23,42,311,11.2,0.519,0.413,0.19,4.9,12.6,8.8,8.9,1.5,0.8,9.6,20.0,,0.0,0.3,0.2,0.036,,-3.1,-1.5,-4.6,-0.2
17,Richaun Holmes,30,23,237,13.9,0.572,0.0,0.356,15.3,20.7,18.0,8.4,0.6,3.3,15.0,14.5,,0.3,0.3,0.6,0.119,,-2.4,-0.6,-3.0,-0.1
18,Markieff Morris,34,26,216,6.6,0.467,0.618,0.088,2.0,17.6,9.9,9.4,1.1,1.2,14.5,16.4,,-0.3,0.2,-0.1,-0.014,,-4.0,-1.3,-5.3,-0.2
19,Brandon Williams,24,17,113,9.3,0.439,0.278,0.315,3.9,8.7,6.3,20.9,0.4,0.8,10.2,26.0,,-0.2,0.1,-0.1,-0.044,,-2.7,-2.8,-5.5,-0.1
20,Greg Brown III,22,6,40,10.5,0.501,0.273,0.818,8.2,16.3,12.3,13.0,0.0,8.8,21.1,20.3,,0.0,0.0,0.0,0.0,,-5.0,0.6,-4.4,0.0
21,Dexter Dennis,24,4,30,18.3,0.541,0.421,0.158,3.7,29.0,16.4,23.7,0.0,2.9,12.9,33.3,,0.0,0.0,0.0,0.004,,1.7,-0.1,1.7,0.0
22,Alex Fudge,20,2,26,16.2,0.611,0.333,0.0,8.4,4.2,6.3,0.0,5.5,0.0,10.0,16.5,,0.0,0.0,0.1,0.108,,-0.4,2.1,1.7,0.0
