Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Pascal Siakam,29,17,603,20.7,0.578,0.162,0.217,8.4,16.4,12.5,16.1,1.1,1.1,5.6,25.2,,1.5,0.2,1.8,0.14,,3.1,-0.8,2.3,0.7
2,Aaron Nesmith,24,17,559,9.6,0.566,0.56,0.262,4.1,13.4,8.8,8.1,1.0,1.5,12.8,14.6,,0.4,0.2,0.6,0.049,,-2.6,-0.6,-3.2,-0.2
3,Andrew Nembhard,24,17,554,16.5,0.654,0.33,0.143,3.0,8.7,5.9,23.0,0.6,0.7,10.6,17.7,,1.6,0.0,1.6,0.135,,1.5,-0.3,1.2,0.5
4,Myles Turner,27,17,550,17.5,0.637,0.42,0.244,5.7,18.2,12.1,9.0,0.7,4.2,12.7,21.4,,0.9,0.3,1.2,0.104,,1.8,0.0,1.8,0.5
5,Tyrese Haliburton,23,15,522,21.9,0.626,0.651,0.093,2.8,13.2,8.1,32.7,1.9,1.8,12.2,22.1,,1.6,0.3,1.8,0.169,,6.4,-0.3,6.2,1.1
6,T.J. McConnell,31,17,348,19.9,0.522,0.141,0.081,3.8,13.6,8.8,37.3,2.2,0.5,9.9,27.6,,0.6,0.2,0.8,0.104,,2.2,-0.5,1.7,0.3
7,Obi Toppin,25,17,343,18.5,0.634,0.415,0.185,3.5,21.8,12.8,11.9,0.9,1.6,8.8,21.1,,0.7,0.2,0.9,0.125,,2.7,0.0,2.6,0.4
8,Ben Sheppard,22,17,335,8.3,0.587,0.704,0.127,3.6,14.1,8.9,6.1,1.2,0.3,12.8,11.6,,0.2,0.1,0.3,0.042,,-2.5,0.0,-2.5,0.0
9,Isaiah Jackson,22,15,154,18.1,0.56,0.0,0.419,16.4,20.2,18.3,5.9,1.0,7.7,7.3,16.1,,0.3,0.2,0.5,0.149,,-0.9,-0.3,-1.2,0.0
10,Doug McDermott,32,10,64,8.6,0.591,0.727,0.0,3.8,1.8,2.8,13.0,0.0,2.9,8.3,8.5,,0.1,0.0,0.1,0.063,,0.1,0.3,0.5,0.0
11,Jalen Smith,23,7,42,12.4,0.564,0.5,1.0,20.0,19.2,19.6,5.6,2.4,2.2,25.8,16.7,,0.0,0.0,0.1,0.072,,-3.4,-1.0,-4.4,0.0
12,Jarace Walker,20,9,31,0.6,0.353,0.3,0.3,3.9,11.1,7.6,15.6,3.3,3.0,34.6,25.3,,-0.2,0.0,-0.2,-0.262,,-10.1,-0.8,-10.9,-0.1
13,Kendall Brown,20,7,25,-2.2,0.333,0.0,0.0,0.0,13.8,7.0,9.5,0.0,3.7,33.3,16.3,,-0.1,0.0,-0.1,-0.211,,-9.7,-2.5,-12.2,-0.1
14,James Johnson,36,1,1,-30.4,0.568,,,0.0,0.0,0.0,0.0,0.0,0.0,53.2,85.0,,0.0,0.0,0.0,-1.301,,-32.9,-18.6,-51.6,0.0
