Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Tyrese Haliburton,23,69,2224,23.3,0.605,0.51,0.217,1.8,12.0,6.9,44.9,1.8,1.7,12.2,24.6,,7.6,1.5,9.0,0.195,,7.3,-0.4,6.9,5.0
2,Myles Turner,27,77,2076,19.3,0.626,0.356,0.349,6.2,22.9,14.5,6.4,0.9,5.5,9.4,23.4,,3.6,2.2,5.8,0.134,,1.0,-0.1,0.9,1.5
3,Aaron Nesmith,24,72,1995,12.8,0.631,0.526,0.216,3.6,12.0,7.8,6.6,1.5,2.0,8.4,16.0,,2.8,1.3,4.1,0.098,,-0.3,-0.2,-0.5,0.8
4,Obi Toppin,25,82,1730,16.5,0.677,0.437,0.173,5.6,15.4,10.5,9.4,1.3,2.0,10.0,16.8,,3.6,1.1,4.8,0.132,,1.8,-0.3,1.5,1.5
5,Andrew Nembhard,24,68,1697,11.3,0.573,0.328,0.107,2.4,7.0,4.7,20.0,1.8,0.3,15.6,16.0,,1.3,0.7,2.0,0.057,,-1.6,-0.5,-2.2,-0.1
6,Bennedict Mathurin,21,59,1538,13.0,0.562,0.323,0.338,4.4,12.8,8.6,9.8,1.1,0.7,11.3,23.4,,0.8,0.7,1.4,0.045,,-1.2,-2.3,-3.4,-0.6
7,Buddy Hield,31,52,1336,13.1,0.586,0.691,0.064,2.9,11.3,7.1,12.9,1.5,1.8,10.4,18.6,,1.2,0.8,2.0,0.07,,1.0,-0.8,0.2,0.7
8,Pascal Siakam,29,41,1303,20.7,0.602,0.156,0.267,7.4,20.3,13.9,16.5,1.1,0.9,7.4,25.2,,3.0,0.9,3.9,0.143,,3.0,-0.5,2.5,1.5
9,T.J. McConnell,31,71,1291,20.9,0.586,0.074,0.105,3.2,13.6,8.4,41.8,2.6,0.5,14.8,23.7,,2.8,1.1,3.9,0.143,,2.9,0.1,3.0,1.6
10,Jalen Smith,23,61,1047,20.7,0.682,0.365,0.263,12.1,24.3,18.2,8.0,0.8,2.9,9.1,19.4,,3.1,0.9,4.0,0.182,,3.2,-0.8,2.4,1.2
11,Bruce Brown,27,33,981,12.2,0.568,0.322,0.261,2.9,14.9,8.9,12.3,1.7,0.6,10.5,16.7,,0.9,0.6,1.5,0.074,,-1.7,-0.5,-2.3,-0.1
12,Ben Sheppard,22,57,814,8.1,0.524,0.681,0.114,2.1,10.3,6.2,7.5,1.9,0.2,5.9,13.2,,0.3,0.4,0.8,0.046,,-3.3,-0.1,-3.4,-0.3
13,Isaiah Jackson,22,59,771,21.5,0.689,0.017,0.438,13.8,21.2,17.5,8.3,2.1,6.3,12.3,17.2,,2.2,1.1,3.3,0.204,,0.3,1.4,1.7,0.7
14,Jarace Walker,20,33,340,11.8,0.527,0.5,0.082,4.0,17.0,10.5,13.9,2.1,2.6,13.0,16.1,,0.1,0.3,0.4,0.058,,-0.5,0.7,0.2,0.2
15,Doug McDermott,32,18,204,7.7,0.537,0.812,0.029,1.1,5.0,3.1,7.6,1.2,0.0,5.4,15.2,,0.1,0.0,0.1,0.024,,-3.0,-2.2,-5.1,-0.2
16,Jordan Nwora,25,18,183,12.2,0.541,0.439,0.134,4.9,15.5,10.2,12.7,1.5,0.4,12.1,22.6,,0.0,0.1,0.1,0.03,,-1.8,-2.2,-4.0,-0.1
17,Kendall Brown,20,15,63,7.6,0.567,0.133,0.533,5.4,3.6,4.5,9.3,0.0,0.0,9.7,13.7,,0.1,0.0,0.1,0.045,,-4.2,-2.6,-6.8,-0.1
18,James Johnson,36,9,47,5.0,0.368,0.2,0.2,2.4,7.2,4.8,18.6,5.0,1.7,31.5,14.2,,-0.1,0.1,0.0,-0.05,,-8.0,2.2,-5.8,0.0
19,Oscar Tshiebwe,24,8,42,24.8,0.553,0.0,0.4,21.6,21.6,21.6,6.4,2.2,1.9,0.0,23.5,,0.1,0.0,0.2,0.221,,4.5,-2.3,2.2,0.0
20,Quenton Jackson,25,3,11,16.1,0.532,0.0,2.0,0.0,41.2,20.6,18.6,4.3,0.0,0.0,7.2,,0.0,0.0,0.0,0.203,,-3.5,6.8,3.3,0.0
21,Daniel Theis,31,1,8,-6.9,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,,0.0,0.0,0.0,-0.261,,-13.2,-7.3,-20.5,0.0
22,Isaiah Wong,23,1,4,-1.1,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,,0.0,0.0,0.0,-0.277,,-11.3,-7.7,-19.0,0.0
