Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Anthony Edwards,22,15,606,22.1,0.593,0.356,0.314,3.4,16.7,10.1,28.5,2.0,1.3,12.8,30.1,,1.3,0.8,2.1,0.169,,4.4,2.1,6.5,1.3
2,Jaden McDaniels,23,15,516,13.2,0.626,0.388,0.261,6.5,7.3,6.9,5.2,1.4,3.0,9.7,14.7,,0.8,0.6,1.4,0.129,,-0.3,2.0,1.7,0.5
3,Rudy Gobert,31,14,486,16.5,0.662,0.0,0.802,9.4,25.2,17.4,6.9,1.4,2.9,13.9,14.2,,1.0,0.8,1.8,0.175,,-0.9,2.3,1.5,0.4
4,Karl-Anthony Towns,28,15,484,18.5,0.582,0.363,0.278,7.2,25.0,16.2,13.7,1.2,0.6,9.5,24.8,,0.9,0.7,1.6,0.156,,1.8,0.8,2.7,0.6
5,Mike Conley,36,14,453,14.9,0.551,0.521,0.186,2.7,11.4,7.1,27.4,2.2,0.6,11.1,17.2,,0.8,0.6,1.3,0.14,,0.6,2.2,2.8,0.6
6,Nickeil Alexander-Walker,25,15,364,8.9,0.507,0.727,0.091,1.7,7.4,4.6,14.2,1.2,1.8,11.6,16.3,,0.0,0.3,0.4,0.05,,-1.8,0.7,-1.2,0.1
7,Naz Reid,24,15,334,16.1,0.592,0.492,0.227,2.9,16.6,9.8,7.2,1.3,3.1,7.0,21.4,,0.4,0.4,0.9,0.128,,1.0,1.4,2.4,0.4
8,Kyle Anderson,30,14,199,15.7,0.535,0.083,0.25,10.3,11.8,11.1,25.4,2.4,1.9,14.5,14.3,,0.4,0.3,0.7,0.16,,-0.2,3.5,3.3,0.3
9,Monte Morris,28,9,67,6.6,0.34,0.467,0.067,1.8,8.8,5.3,19.9,1.6,1.4,0.0,21.1,,-0.1,0.1,0.0,-0.02,,-6.0,0.4,-5.7,-0.1
10,Jordan McLaughlin,27,5,24,-2.2,0.291,0.667,0.333,0.0,19.6,9.9,11.5,0.0,0.0,22.5,16.9,,-0.1,0.0,-0.1,-0.182,,-11.2,-2.1,-13.2,-0.1
11,Luka Garza,25,6,23,42.5,0.919,0.333,0.889,5.2,20.5,12.9,8.6,0.0,0.0,0.0,24.9,,0.2,0.0,0.2,0.501,,17.0,4.6,21.7,0.1
12,Josh Minott,21,4,15,11.9,0.429,0.571,0.0,8.0,31.4,19.8,19.8,0.0,0.0,0.0,21.3,,0.0,0.0,0.0,0.1,,0.7,0.5,1.2,0.0
13,Wendell Moore Jr.,22,5,15,1.1,0.25,0.5,0.0,0.0,15.7,7.9,18.0,3.5,0.0,20.0,15.2,,-0.1,0.0,0.0,-0.097,,-10.9,4.4,-6.5,0.0
14,T.J. Warren,30,3,11,4.1,0.0,0.5,0.0,21.9,10.7,16.2,11.2,0.0,0.0,0.0,8.3,,0.0,0.0,0.0,-0.025,,-2.0,-2.7,-4.6,0.0
15,Leonard Miller,20,2,4,-3.7,0.0,1.0,0.0,0.0,58.8,29.8,0.0,0.0,0.0,0.0,11.4,,0.0,0.0,0.0,-0.179,,-11.9,-3.1,-15.0,0.0
