Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Anthony Edwards,22,79,2770,19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,,2.9,4.7,7.5,0.13,,2.7,0.5,3.3,3.7
2,Rudy Gobert,31,76,2593,19.3,0.675,0.005,0.635,13.1,29.2,21.5,5.6,1.0,5.5,13.1,15.4,,5.8,5.8,11.6,0.216,,0.1,1.7,1.8,2.5
3,Mike Conley,36,76,2193,15.8,0.627,0.629,0.174,2.0,9.0,5.6,28.4,2.0,0.7,12.8,16.0,,5.0,3.3,8.2,0.18,,2.0,1.4,3.4,3.0
4,Jaden McDaniels,23,72,2105,9.4,0.571,0.406,0.126,3.2,8.7,6.0,6.8,1.5,1.8,11.6,15.7,,0.3,3.1,3.4,0.077,,-3.3,0.7,-2.6,-0.3
5,Karl-Anthony Towns,28,62,2026,18.8,0.625,0.344,0.307,5.5,22.6,14.4,15.1,1.0,1.8,14.1,27.4,,2.6,3.6,6.3,0.148,,1.6,0.9,2.5,2.3
6,Naz Reid,24,81,1964,16.0,0.595,0.479,0.174,4.4,19.3,12.2,8.3,1.6,3.3,10.8,23.1,,1.1,3.8,4.9,0.12,,0.4,1.1,1.5,1.7
7,Nickeil Alexander-Walker,25,82,1921,10.9,0.578,0.623,0.121,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,,1.5,2.8,4.3,0.107,,-1.1,1.3,0.2,1.1
8,Kyle Anderson,30,79,1782,12.7,0.513,0.111,0.316,4.0,13.0,8.7,25.0,2.0,2.3,15.6,14.5,,1.4,3.1,4.5,0.121,,-1.6,2.7,1.1,1.4
9,Jordan McLaughlin,27,56,626,15.5,0.638,0.614,0.124,3.4,9.4,6.5,23.7,2.8,1.0,11.1,12.1,,1.4,1.1,2.5,0.193,,1.4,2.9,4.2,1.0
10,Shake Milton,27,38,491,8.3,0.496,0.331,0.275,1.7,9.7,5.9,14.1,1.6,0.9,13.5,18.7,,-0.3,0.7,0.4,0.039,,-4.8,0.6,-4.2,-0.3
11,Troy Brown Jr.,24,37,410,11.6,0.603,0.712,0.186,4.1,15.4,10.0,11.7,1.0,0.4,12.4,15.7,,0.4,0.6,1.0,0.118,,-0.2,0.5,0.4,0.2
12,Monte Morris,28,27,408,13.9,0.537,0.492,0.142,1.5,10.6,6.3,20.4,2.2,1.7,3.8,14.3,,0.6,0.7,1.3,0.154,,-0.2,2.2,2.0,0.4
13,T.J. Warren,30,11,125,9.2,0.479,0.317,0.098,4.8,14.8,10.0,10.1,1.6,0.7,8.6,16.5,,0.0,0.2,0.2,0.06,,-5.0,0.5,-4.5,-0.1
14,Luka Garza,25,25,122,21.8,0.576,0.427,0.333,18.6,10.7,14.4,5.9,1.6,0.7,6.5,33.3,,0.2,0.2,0.4,0.166,,0.6,-2.7,-2.1,0.0
15,Josh Minott,21,32,91,20.4,0.593,0.278,0.389,5.2,15.5,10.6,13.2,2.7,4.9,4.5,21.4,,0.2,0.2,0.4,0.222,,1.8,3.3,5.1,0.2
16,Wendell Moore Jr.,22,25,75,8.6,0.5,0.333,0.0,0.0,17.4,9.1,10.9,3.3,1.2,18.2,13.0,,-0.1,0.2,0.1,0.052,,-6.1,3.3,-2.8,0.0
17,Leonard Miller,20,17,52,27.0,0.694,0.25,0.1,11.5,31.3,21.8,25.5,1.9,1.7,4.6,18.6,,0.2,0.1,0.3,0.323,,5.9,3.7,9.6,0.2
18,Daishen Nix,21,15,50,12.3,0.507,0.708,0.25,2.4,4.3,3.4,17.8,4.9,0.0,15.8,28.0,,-0.1,0.1,0.0,0.014,,-2.8,1.4,-1.4,0.0
19,Justin Jackson,28,2,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.031,,-6.3,-1.2,-7.5,0.0
