Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Josh Hart,28,13,548,14.1,0.552,0.393,0.32,7.6,25.2,16.0,15.3,1.2,1.7,16.6,16.5,,0.5,0.3,0.8,0.069,,-0.6,1.5,0.9,0.4
2,Jalen Brunson,27,13,518,22.0,0.536,0.247,0.353,1.7,8.3,4.9,35.3,1.0,0.4,8.2,36.4,,1.3,-0.1,1.2,0.114,,5.0,-1.2,3.8,0.8
3,Donte DiVincenzo,27,13,466,15.6,0.566,0.555,0.157,3.1,10.2,6.5,11.2,1.8,2.4,7.3,20.8,,0.8,0.1,0.9,0.093,,1.7,0.4,2.0,0.5
4,Isaiah Hartenstein,25,13,388,16.4,0.642,0.026,0.289,14.2,16.7,15.4,16.8,0.5,2.8,18.2,11.9,,1.0,0.1,1.0,0.126,,-0.1,1.4,1.3,0.3
5,Miles McBride,23,13,347,11.1,0.553,0.548,0.097,2.3,7.7,4.9,10.8,1.1,0.5,7.8,17.8,,0.4,-0.1,0.3,0.047,,-1.4,-0.2,-1.6,0.0
6,OG Anunoby,26,9,324,13.9,0.583,0.351,0.117,2.4,17.7,9.8,4.8,1.3,2.5,7.9,17.2,,0.3,0.1,0.4,0.064,,-0.7,1.1,0.4,0.2
7,Precious Achiuwa,24,9,184,12.4,0.482,0.07,0.302,13.5,10.6,12.1,3.8,1.1,6.0,7.6,12.6,,0.1,0.1,0.2,0.054,,-3.4,-0.1,-3.5,-0.1
8,Alec Burks,32,6,121,26.4,0.694,0.56,0.64,3.7,16.2,9.7,8.1,0.4,0.8,0.0,23.3,,0.7,0.0,0.7,0.285,,6.6,1.7,8.3,0.3
9,Mitchell Robinson,25,6,115,15.5,0.485,0.0,0.571,22.5,19.1,20.9,3.4,2.7,5.6,14.6,7.9,,0.2,0.1,0.3,0.118,,-1.6,1.6,0.0,0.1
10,Bojan Bogdanović,34,4,51,10.3,0.443,0.625,0.292,2.2,26.3,13.8,11.5,0.0,1.8,3.6,24.3,,0.0,0.0,0.0,0.006,,-0.5,-1.0,-1.5,0.0
11,Jericho Sims,25,5,27,22.9,0.931,0.0,2.0,12.5,22.6,17.4,5.0,3.9,3.4,0.0,6.1,,0.1,0.0,0.1,0.259,,2.5,4.3,6.7,0.1
12,Shake Milton,27,4,22,3.9,0.289,0.333,1.0,0.0,5.6,2.7,11.1,2.4,0.0,0.0,17.3,,0.0,0.0,0.0,-0.082,,-6.1,-0.8,-6.8,0.0
13,DaQuan Jeffries,26,4,20,11.8,0.5,0.625,0.0,5.6,18.3,11.7,0.0,2.6,0.0,0.0,17.6,,0.0,0.0,0.0,0.065,,-1.2,1.7,0.5,0.0
14,Mamadi Diakite,27,4,15,2.2,0.258,0.667,0.667,0.0,24.4,11.7,8.1,3.5,6.1,20.5,14.3,,-0.1,0.0,0.0,-0.1,,-12.0,4.0,-8.0,0.0
