Rk,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
1,Jalen Brunson,27,77,2726,23.4,0.592,0.319,0.302,1.8,9.7,5.7,33.5,1.3,0.4,9.1,32.5,,8.8,2.4,11.2,0.198,,6.3,-0.4,5.8,5.4
2,Josh Hart,28,81,2707,11.8,0.522,0.38,0.169,5.3,22.8,14.0,16.3,1.4,0.8,13.9,13.5,,2.0,3.6,5.7,0.1,,-1.3,1.4,0.0,1.4
3,Donte DiVincenzo,27,81,2360,16.0,0.597,0.702,0.114,3.0,11.2,7.1,13.7,2.3,1.4,9.7,21.3,,3.6,3.0,6.6,0.135,,2.5,0.9,3.4,3.2
4,Isaiah Hartenstein,25,75,1896,18.9,0.67,0.008,0.43,14.4,22.7,18.5,13.5,2.3,4.2,17.6,12.0,,4.6,3.5,8.1,0.204,,0.7,2.8,3.5,2.6
5,Julius Randle,29,46,1630,18.9,0.569,0.292,0.361,6.8,22.4,14.6,22.8,0.8,0.7,14.1,29.9,,1.9,1.9,3.8,0.113,,2.2,-0.3,1.9,1.6
6,Miles McBride,23,68,1328,13.1,0.59,0.586,0.11,2.6,5.9,4.2,12.2,1.9,0.5,5.9,16.4,,2.4,1.3,3.6,0.131,,-0.4,0.4,-0.1,0.6
7,Precious Achiuwa,24,49,1187,14.5,0.564,0.167,0.234,13.3,19.9,16.6,6.2,1.3,4.4,14.1,14.0,,1.2,1.8,3.0,0.122,,-1.9,0.5,-1.4,0.2
8,Quentin Grimes,23,45,910,9.5,0.543,0.741,0.119,1.7,9.2,5.4,7.8,1.7,0.3,6.5,15.3,,0.7,0.9,1.5,0.081,,-1.9,0.4,-1.5,0.1
9,OG Anunoby,26,23,802,13.0,0.591,0.406,0.168,3.2,11.1,7.1,6.2,2.5,2.7,12.1,16.8,,0.5,1.1,1.6,0.097,,-1.3,1.8,0.6,0.5
10,Mitchell Robinson,25,31,768,16.1,0.554,0.0,0.52,20.7,17.7,19.2,3.1,2.4,4.3,13.8,10.2,,1.2,1.3,2.5,0.155,,-0.3,0.4,0.0,0.4
11,RJ Barrett,23,26,766,14.3,0.536,0.335,0.32,2.8,13.5,8.1,12.8,0.8,1.1,9.6,27.6,,0.4,0.7,1.1,0.07,,-0.3,-1.7,-2.0,0.0
12,Immanuel Quickley,24,30,720,17.1,0.598,0.484,0.281,0.8,11.3,6.0,15.9,1.1,0.4,7.6,24.4,,1.6,0.6,2.2,0.149,,2.7,-0.2,2.5,0.8
13,Jericho Sims,25,45,585,10.9,0.702,0.0,0.436,10.7,17.5,14.1,5.4,0.7,3.0,19.6,6.0,,0.9,0.7,1.5,0.127,,-2.4,0.7,-1.8,0.0
14,Bojan Bogdanović,34,29,557,10.1,0.549,0.496,0.176,1.8,9.9,5.8,7.1,0.6,0.2,12.1,24.3,,-0.2,0.4,0.2,0.021,,-2.4,-2.5,-4.9,-0.4
15,Alec Burks,32,23,311,6.5,0.42,0.509,0.202,2.9,11.6,7.2,9.2,1.1,0.3,8.3,26.9,,-0.6,0.3,-0.4,-0.055,,-4.9,-3.0,-7.8,-0.5
16,Taj Gibson,38,16,165,3.2,0.335,0.261,0.087,6.8,12.3,9.5,6.7,0.6,3.4,17.3,7.6,,-0.1,0.2,0.1,0.019,,-6.9,0.0,-6.9,-0.2
17,Malachi Flynn,25,14,60,12.5,0.557,0.565,0.478,0.0,11.3,5.6,14.1,0.8,0.0,9.7,22.2,,0.1,0.0,0.1,0.093,,-1.7,-0.9,-2.6,0.0
18,DaQuan Jeffries,26,17,46,3.1,0.391,0.588,0.118,0.0,12.2,6.1,14.9,0.0,2.0,14.4,19.6,,-0.1,0.0,-0.1,-0.087,,-5.6,-2.5,-8.1,-0.1
19,Ryan Arcidiacono,29,20,45,-2.0,0.0,1.0,0.0,0.0,20.0,10.0,10.4,2.2,0.0,25.0,7.7,,-0.1,0.1,-0.1,-0.089,,-11.5,1.9,-9.6,-0.1
20,Evan Fournier,31,3,39,2.2,0.287,0.75,0.1,0.0,11.6,5.8,10.2,5.2,0.0,4.6,24.2,,-0.2,0.1,-0.1,-0.108,,-11.8,0.4,-11.3,-0.1
21,Jacob Toppin,23,9,38,14.3,0.658,0.444,0.222,8.8,11.9,10.3,10.9,0.0,2.5,9.2,12.4,,0.1,0.0,0.1,0.161,,0.6,-1.3,-0.7,0.0
22,Charlie Brown Jr.,26,8,37,-3.2,0.3,0.7,0.0,3.0,3.0,3.0,0.0,0.0,5.1,16.7,14.0,,-0.1,0.0,-0.1,-0.124,,-10.2,-3.4,-13.6,-0.1
23,Shake Milton,27,6,27,13.8,0.557,0.222,0.222,0.0,25.0,12.5,20.9,1.9,0.0,0.0,15.8,,0.1,0.0,0.1,0.201,,-5.7,2.2,-3.5,0.0
24,Mamadi Diakite,27,3,8,-5.2,0.0,1.0,0.0,0.0,14.1,7.0,0.0,6.3,0.0,50.0,10.8,,-0.1,0.0,0.0,-0.194,,-13.5,0.7,-12.7,0.0
25,Dylan Windler,27,3,7,15.5,0.75,1.0,0.0,0.0,16.1,8.0,20.0,0.0,0.0,0.0,12.3,,0.0,0.0,0.0,0.238,,3.7,3.8,7.4,0.0
26,Dmytro Skapintsev,25,2,2,-19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,,0.0,0.0,0.0,-0.483,,-16.0,-9.8,-25.9,0.0
